No,supplier,barcode,name,quantity,cost,price,alert_quantity,batch_number
655,ASMATHUIIA,1002376,WALKAROO GL 198 - BU,1,"1,700.00","2,899.00",0,25102024
656,ASMATHUIIA,1002377,WALKAROO W 187 - PL,1,"1,750.00","2,899.00",0,25102024
657,ASMATHUIIA,1002378,WALKAROO BT 2314 - BL,1,"2,050.00","2,999.00",0,25102024
658,ASMATHUIIA,1002379,WALKAROO SANDALS WL 7842 -PL,1,"2,150.00","3,399.00",1,29032024
660,ASMATHUIIA,1002382,WALKAROO SANDALS WL 7834 - BU,1,"2,100.00","3,399.00",1,29032024
661,ASMATHUIIA,1002398,SABRUNA COURT SHOE - O WT,1,"1,800.00","2,999.00",0,25102024
662,ASMATHUIIA,1002400,SABRUNA COURT SHOE - O2 PK,1,"1,800.00","2,999.00",0,25102024
663,ASMATHUIIA,1002404,SABRUNA COURT SHOE - O6 BU,2,"2,100.00","3,299.00",0,25102024
666,ASMATHUIIA,1002407,SABRUNA COURT SHOE - O9 PK,1,"2,100.00","3,299.00",0,25102024
667,ASMATHUIIA,1002409,SABRUNA COURT SHOE - 11 MD,2,"2,100.00","3,299.00",0,25102024
668,ASMATHUIIA,1002411,INDIAN PARTY SANDALS - 02 WT BU,1,"2,100.00","3,299.00",0,25102024
670,ASMATHUIIA,1002413,INDIAN PARTY SANDALS - 04 PL,1,"1,900.00","2,999.00",0,25102024
671,SABRIN EARUR,1002414,FIFA KIDS SANDALS  C30 - BL,3,"1,150.00","2,299.00",0,25102024
672,SABRIN EARUR,1002415,FIFA KIDS SANDALS  C30 - BU,4,"1,150.00","2,299.00",0,25102024
673,KAPPER KKY,1002418,GENTS CHAPPAL 1932 - BL,2,"1,100.00","1,999.00",0,25102024
674,KAPPER KKY,1002420,FINE RICH  02 -1050-BL,1,"1,050.00","2,299.00",0,25102024
675,SABRIN EARUR,1002425,TOMMY TWO STEP BOYS - BL RD,5,950.00,"1,699.00",0,25102024
676,SABRIN EARUR,1002433,FIFA KIDS PO S  C50 - BR,7,"1,150.00","2,299.00",0,25102024
677,SABRIN EARUR,1002434,FIFA KIDS PO S  C50 - BL,4,"1,150.00","2,299.00",0,25102024
678,KAPPER KKY,1002439,LADIES WALLETS -45,3,680.00,"1,399.00",0,07042024
679,NEW FASHION,1002444,NEW FASHION 5534 BU - 623,10,"1,750.00","2,999.00",1,08042024
680,KKY SUBAIR NANA,1002451,KADAM BOYS SANDALS,9,600.00,"1,399.00",0,25102024
681,KKY SUBAIR NANA,1002452,KADAM  TWO STEP,6,600.00,"1,399.00",0,25102024
682,KKY SUBAIR NANA,1002454,FLAT LEDIES TWO STEP,6,675.00,"1,399.00",0,30062024
683,KKY SUBAIR NANA,1002455,EVEREST FLAT LEDIES TWO STEP,13,675.00,"1,399.00",0,25102024
684,WAMIK KVC,1002466,KVC  11030 BL - 7-10,4,"1,394.00","2,699.00",0,25102024
686,WAMIK KVC,1002468,KVC  11030 BR- 7-10,3,"1,394.00","2,699.00",0,25102024
687,WAMIK KVC,1002469,KVC  11090 BL- 7-10,1,"1,394.00","2,699.00",0,25102024
689,WAMIK KVC,1002473,GAMBOL TWO STEP - BU,6,"1,600.00","2,799.00",0,25102024
692,WAMIK KVC,1002475,APL TWO STEP -MR,1,"1,600.00","2,799.00",0,22102024
693,WAMIK KVC,1002476,APL TWO STEP -GY,2,"1,600.00","2,799.00",0,25102024
